Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
PAH (Pulmonary Arterial Hypertension) (4),"Tadalafil (40 mg daily), ambrisentan (10 mg daily)","Echo (RVSP >40 mmHg), right heart cath, PFTs","Shortness of breath, syncope, cyanosis","Tadalafil (40 milligrams daily), ambrisentan (10 milligrams daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mania,"Lithium (900 mg daily), antipsychotics (olanzapine)","DSM5 (bipolar I), clinical, Young Mania Scale","Elevated mood, racing thoughts, risky behavior","Lithium (900 milligrams daily), antipsychotics (olanzapine) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tinea Capitis,"Griseofulvin (20 mg/kg daily), ketoconazole shampoo","KOH prep (fungal hyphae), culture (Trichophyton)","Scalp scaling, hair loss, itching, pustules","Griseofulvin (20 milligrams/kg daily), ketoconazole shampoo This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Staph Skin Infection,"Dicloxacillin (500 mg 4x daily), drainage","Culture (S. aureus), clinical exam, Gram stain","Redness, pus, pain, fever, abscess","Dicloxacillin (500 milligrams 4 times a day), drainage This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Peptic Ulcer,"PPI (omeprazole 40 mg daily), amoxicillin (1 g twice daily)","Endoscopy (ulcer), H. pylori test, biopsy","Epigastric pain, nausea, bloating, hematemesis","PPI (omeprazole 40 milligrams daily), amoxicillin (1 g twice daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Peptic Ulcer (Stomach Ulcer) (2),"Clarithromycin (500 mg twice daily), PPI, eradication","Urea breath test, endoscopy, stool antigen","Burning pain, vomiting, weight loss, bleeding","Clarithromycin (500 milligrams twice daily), PPI, eradication This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
PKU (Phenylketonuria),"LowPhe diet, sapropterin (10 mg/kg daily)","Newborn screen (Phe >120 µmol/L), genetic (PAH)","Intellectual disability, musty odor, seizures","LowPhe diet, sapropterin (10 milligrams/kg daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chronic Pain,"Duloxetine (60 mg daily), physical therapy, opioids (rare)","Clinical history, imaging (if structural), pain scales","Persistent pain, fatigue, mood changes","Duloxetine (60 milligrams daily), physical therapy, opioids (rare) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cardiovascular Conditions and Disorders,"Treat specific (e.g., statins, betablockers), lifestyle","ECG, echo, stress test, specific labs","Chest pain, dyspnea, edema, palpitations","Treat specific (e.g., statins, betablockers), lifestyle This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Adrenal Pheochromocytoma,"Surgery, alphablockers (phenoxybenzamine 10 mg)","Plasma metanephrines, CT/MRI (adrenal mass)","Hypertension, sweating, palpitations, headache","Surgery, alphablockers (phenoxybenzamine 10 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Nontuberculous Atypical Mycobacterial Disease,"Azithromycin (250 mg daily), rifampin, ethambutol","Culture (e.g., MAC), CT (treeinbud), biopsy","Cough, fatigue, weight loss, lung nodules","Azithromycin (250 milligrams daily), rifampin, ethambutol This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Breast Cancer, Bone Metastases","Bisphosphonates (zoledronate 4 mg IV), chemo, radiation","Bone scan (hot spots), biopsy, mammogram","Bone pain, fractures, hypercalcemia, lump","Bisphosphonates (zoledronate 4 milligrams intravenous), chemo, radiation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Nontropical Sprue,"Glutenfree diet, vitamin supplements (B12)","AntitTG, duodenal biopsy (villous atrophy)","Diarrhea, malabsorption, bloating, fatigue","Glutenfree diet, vitamin supplements (B12) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Fibroadenoma,"Monitor, excision (if symptomatic), reassurance","Ultrasound (welldefined), core biopsy, clinical","Painless breast lump, mobile, rubbery","Monitor, excision (if symptomatic), reassurance This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Neurotrophic Keratitis,"Amniotic membrane, tarsorrhaphy, artificial tears","Corneal sensitivity test, slitlamp, history (neuro damage)","Eye numbness, poor healing, vision blur, dryness","Amniotic membrane, tarsorrhaphy, artificial tears This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
West Nile Virus,"Supportive care, IV fluids, antivirals (experimental)","Serum/CSF IgM, PCR (WNV), clinical history","Fever, headache, rash, neuro symptoms (severe)","Supportive care, intravenous fluids, antivirals (experimental) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Trichostrongylosis,"Albendazole (400 mg single dose), iron supplementation","Stool ova (Trichostrongylus), CBC, serology","Abdominal pain, anemia, diarrhea, eosinophilia","Albendazole (400 milligrams single dose), iron supplementation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chest Contusion,"Rest, ice, NSAIDs (ibuprofen 400 mg), monitor","Chest Xray (rule out fracture), clinical exam","Chest pain, bruising, dyspnea, tenderness","Rest, ice, NSAIDs (ibuprofen 400 milligrams), monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Localized Scleroderma,"Topical steroids (clobetasol 0.05%), methotrexate (15 mg weekly)","Clinical exam (morphea), biopsy, rule out systemic","Skin thickening, patches, tightness, pigment changes","Topical steroids (clobetasol 0.05%), methotrexate (15 milligrams weekly) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Periodic Limb Movement Disorder,"Pramipexole (0.25 mg nightly), iron (if ferritin <50)","Polysomnography (PLM index >15/hr), history","Leg jerks, sleep disruption, daytime fatigue","Pramipexole (0.25 milligrams nightly), iron (if ferritin <50) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HPV (Human Papillomavirus) Infection,"Cryotherapy, imiquimod (5% cream), vaccine prevention","Clinical exam, HPV DNA test, biopsy (if abnormal)","Warts (genital/skin), asymptomatic, dysplasia risk","Cryotherapy, imiquimod (5% cream), vaccine prevention This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Somatoform Pain Disorder,"CBT, duloxetine (60 mg daily), psychotherapy","DSM5, clinical interview, rule out organic","Chronic pain, no physical cause, distress","CBT, duloxetine (60 milligrams daily), psychotherapy This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Serology for Brucellosis,Doxycycline (100 mg twice daily) + rifampin (600 mg),"Serology (IgM/IgG), blood culture, PCR","Fever, sweats, joint pain, fatigue (Brucella exposure)",Doxycycline (100 milligrams twice daily) + rifampin (600 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Multiple Sclerosis (MS),"Interferonbeta (30 mcg IM weekly), ocrelizumab","MRI (plaques), CSF (oligoclonal bands), McDonald criteria","Fatigue, numbness, vision loss, spasticity","Interferonbeta (30 micrograms IM weekly), ocrelizumab This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Genital Herpes Infection,"Acyclovir (400 mg 3x daily), valacyclovir (1 g twice daily)","PCR (HSV), viral culture, clinical exam","Painful genital sores, itching, fever, lymphadenopathy","Acyclovir (400 milligrams 3 times a day), valacyclovir (1 g twice daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Multiple Personality Disorder,"Psychotherapy (integration), SSRIs (if comorbid)","DSM5 (DID), clinical interview, trauma history","Identity shifts, amnesia, distress, dissociation","Psychotherapy (integration), SSRIs (if comorbid) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Benign Intracranial Hypertension,"Acetazolamide (500 mg twice daily), weight loss, surgery","Lumbar puncture (>25 cmH2O), MRI, fundoscopy","Headache, vision loss, papilledema, tinnitus","Acetazolamide (500 milligrams twice daily), weight loss, surgery This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
MCI (Mild Cognitive Impairment),"Cognitive training, monitor, treat risks (e.g., HTN)","Cognitive testing (MoCA <26), MRI, history","Memory lapses, slowed thinking, preserved function","Cognitive training, monitor, treat risks (e.g., HTN) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Genital Herpes (2),"Valacyclovir (500 mg daily suppression), topical antivirals","Tzanck smear, HSV serology, clinical exam","Recurrent sores, burning, prodrome, genital pain","Valacyclovir (500 milligrams daily suppression), topical antivirals This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Wilson’s Disease,"Penicillamine (1 g daily), zinc (150 mg daily)","Serum ceruloplasmin (<20 mg/dL), 24hr urine copper","Tremors, liver dysfunction, psychiatric issues, KayserFleischer rings","Penicillamine (1 g daily), zinc (150 milligrams daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Suprapubic Cystostomy,"Catheter care, antibiotics (if infected), monitor","Postop ultrasound, clinical exam, catheter check","Postop pain, urine leakage, infection risk","Catheter care, antibiotics (if infected), monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Diabetic Coma,"Insulin (0.1 units/kg/hr IV), fluids, electrolytes","Glucose (>600 or <50 mg/dL), ketones, ABG","Confusion, unconsciousness, hyperglycemia/hypoglycemia","Insulin (0.1 units/kg/hr intravenous), fluids, electrolytes This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Emphysema (Lung Condition),"Bronchodilators (tiotropium), oxygen, smoking cessation","PFTs (FEV1/FVC <0.7), CT (bullae), chest Xray","Dyspnea, barrel chest, cough, weight loss","Bronchodilators (tiotropium), oxygen, smoking cessation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Wrist Sprain,"Rest, splint, NSAIDs (ibuprofen 400 mg), rehab","Clinical exam (instability), Xray (rule out fracture)","Wrist pain, swelling, limited motion, tenderness","Rest, splint, NSAIDs (ibuprofen 400 milligrams), rehab This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HighGrade BCell Lymphoma,"RCHOP (rituximab 375 mg/m²), chemo, radiation","Biopsy (large cells), PETCT, bone marrow","Lymphadenopathy, fever, night sweats, weight loss","RCHOP (rituximab 375 milligrams/m²), chemo, radiation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Penile Disorders,"Treat cause (e.g., collagenase for Peyronie’s), surgery","Clinical exam, ultrasound (e.g., Peyronie’s), history","Pain, swelling, curvature, erectile issues","Treat cause (e.g., collagenase for Peyronie’s), surgery This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Poison Oak,"Topical steroids (hydrocortisone 1%), antihistamines","Clinical exam (linear lesions), history, rule out infection","Itchy rash, blisters, redness, plant exposure","Topical steroids (hydrocortisone 1%), antihistamines This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Melena,"PPI (pantoprazole 40 mg IV), transfusion, treat cause","Endoscopy (bleeding source), CBC (anemia), occult blood","Black stools, weakness, epigastric pain","PPI (pantoprazole 40 milligrams intravenous), transfusion, treat cause This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cerebral Vascular Disorder,"Aspirin (81 mg daily), tPA (if acute), rehab","MRI/CT (infarct), angiography, Doppler (carotid)","Stroke, TIA, headache, focal deficits","Aspirin (81 milligrams daily), tPA (if acute), rehab This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Primary Hyperparathyroidism,"Parathyroidectomy, cinacalcet (30 mg daily)","Serum calcium (>10.5 mg/dL), PTH (>65 pg/mL), imaging","Fatigue, kidney stones, bone pain, hypercalcemia","Parathyroidectomy, cinacalcet (30 milligrams daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
GBM (Glioblastoma Multiforme),"Surgery, temozolomide (150 mg/m²), radiation","MRI (ringenhancing), biopsy (grade IV), CSF","Headache, seizures, cognitive decline, motor deficits","Surgery, temozolomide (150 milligrams/m²), radiation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HSV2 (Herpes Simplex (HSV)),"Acyclovir (800 mg 3x daily), suppression (400 mg twice daily)","PCR (HSV2), serology, clinical exam","Genital ulcers, pain, fever, recurrence","Acyclovir (800 milligrams 3 times a day), suppression (400 milligrams twice daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hip Bursitis Exercises,"Physical therapy, steroid injection (triamcinolone 40 mg)","Clinical exam (trochanteric pain), ultrasound, Xray","Hip pain, stiffness, worse with activity, tenderness","Physical therapy, steroid injection (triamcinolone 40 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Post Concussion Syndrome,"Rest, amitriptyline (25 mg nightly), gradual return","Clinical history (postTBI), neuro exam, imaging (if severe)","Headache, dizziness, fatigue, cognitive issues","Rest, amitriptyline (25 milligrams nightly), gradual return This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Vitamin D Deficiency,"Vitamin D (2000 IU daily), calcium (1000 mg daily)","Serum 25OH vitamin D (<20 ng/mL), PTH, Xray","Bone pain, fatigue, muscle weakness, fractures","Vitamin D (2000 IU daily), calcium (1000 milligrams daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Heat Cramps,"Hydration, salt replacement, rest, cooling","Clinical history (exertion), electrolytes (low Na+)","Muscle spasms, sweating, heat exposure, pain","Hydration, salt replacement, rest, cooling This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dry Eye Disease,"Artificial tears, cyclosporine (0.05% drops), plugs","Schirmer test (<10 mm), tear breakup time, exam","Dryness, irritation, burning, foreign body sensation","Artificial tears, cyclosporine (0.05% drops), plugs This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Syncope,"Treat cause (e.g., fluids for vasovagal), midodrine","ECG (arrhythmia), tilt table, history (triggers)","Fainting, dizziness, pallor, brief loss of consciousness","Treat cause (e.g., fluids for vasovagal), midodrine This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hepatocellular Adenoma,"Stop OCPs, resection (if >5 cm), monitor","CT/MRI (hypervascular), biopsy (if unclear)","RUQ pain, mass, often asymptomatic, OCP use","Stop OCPs, resection (if >5 cm), monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
LowGrade Glioma,"Surgery, observation, radiation (if progression)","MRI (nonenhancing), biopsy (grade I/II), EEG","Seizures, headache, subtle deficits, slow onset","Surgery, observation, radiation (if progression) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
"Cancer, Squamous Cell Carcinoma","Excision, Mohs surgery, radiation (if advanced)","Biopsy (keratin pearls), staging (CT/MRI)","Scaly lesion, ulcer, bleeding, local growth","Excision, Mohs surgery, radiation (if advanced) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hypoglycemia,"Glucose (15 g oral), glucagon (1 mg IM), monitor","Blood glucose (<70 mg/dL), Whipple’s triad","Sweating, shakiness, confusion, low glucose","Glucose (15 g oral), glucagon (1 milligrams IM), monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Carpal Tunnel Syndrome,"Wrist splint, steroid injection (methylprednisolone), surgery","Phalen’s test, EMG (median nerve), ultrasound","Hand numbness, tingling, pain, worse at night","Wrist splint, steroid injection (methylprednisolone), surgery This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Anterior Vaginal Prolapse (Cystocele),"Pessary, pelvic floor exercises, surgery (repair)","Pelvic exam (prolapse grade), urodynamics","Pelvic pressure, bulge, urinary issues, discomfort","Pessary, pelvic floor exercises, surgery (repair) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Carotid Artery Disease,"Carotid endarterectomy, aspirin (81 mg daily), statins","Carotid Doppler (stenosis >70%), CTA/MRA","TIA, stroke, bruit, dizziness","Carotid endarterectomy, aspirin (81 milligrams daily), statins This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pink Eye (Conjunctivitis),"Antibiotic drops (erythromycin), antihistamines (allergic)","Clinical exam, culture (if severe), history","Red eyes, discharge, itching, gritty feeling","Antibiotic drops (erythromycin), antihistamines (allergic) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Irritable Bladder,"Anticholinergics (oxybutynin 5 mg), bladder training","Urodynamics, cystoscopy, rule out UTI","Urgency, frequency, pelvic pain, no infection","Anticholinergics (oxybutynin 5 milligrams), bladder training This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HAE (Hereditary Angioedema),"C1 esterase inhibitor (IV), icatibant (30 mg SC)","C1 inhibitor levels (<50%), C4, genetic (SERPING1)","Swelling (face/limbs), abdominal pain, no hives","C1 esterase inhibitor (intravenous), icatibant (30 milligrams SC) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Bacterial Diarrhea,"Azithromycin (500 mg single dose), fluids","Stool culture (e.g., Campylobacter), PCR, history","Watery stools, fever, cramps, urgency","Azithromycin (500 milligrams single dose), fluids This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chronic Respiratory Failure,"Oxygen, BiPAP, treat cause (e.g., COPD)","ABG (PaO2 <60 mmHg), PFTs, chest imaging","Dyspnea, cyanosis, fatigue, CO2 retention","Oxygen, BiPAP, treat cause (e.g., COPD) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Congenital Adrenal Hyperplasia,"Hydrocortisone (15 mg/m² daily), fludrocortisone","17OHP (>2000 ng/dL), ACTH stim, genetic (CYP21A2)","Ambiguous genitalia, salt wasting, precocious puberty","Hydrocortisone (15 milligrams/m² daily), fludrocortisone This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Leg Sprain,"RICE (rest, ice, compression, elevation), brace","Clinical exam (ligament laxity), Xray (rule out fracture)","Leg pain, swelling, instability, bruising","RICE (rest, ice, compression, elevation), brace This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Oral Herpes Infection,"Acyclovir (200 mg 5x daily), topical antivirals","PCR (HSV1), Tzanck smear, clinical exam","Cold sores, fever, gingivostomatitis, pain","Acyclovir (200 milligrams 5 times a day), topical antivirals This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
SSCILD,"Cyclophosphamide (2 mg/kg daily), oxygen","HRCT (fibrosis), PFTs (restrictive), ANA","Dyspnea, cough, fatigue, scleroderma link","Cyclophosphamide (2 milligrams/kg daily), oxygen This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
DLB (Lewy Body Dementia),"Rivastigmine (6 mg twice daily), levodopa (low dose)","Clinical (core features), DaTscan, MRI","Hallucinations, parkinsonism, cognitive decline","Rivastigmine (6 milligrams twice daily), levodopa (low dose) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Intraabdominal Infection,"Antibiotics (piperacillintazobactam 3.375 g IV), drainage","CT (abscess), culture (e.g., E. coli), labs (WBC)","Abdominal pain, fever, nausea, peritonitis","Antibiotics (piperacillintazobactam 3.375 g intravenous), drainage This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Arthritis (Joint Inflammation),"NSAIDs (naproxen 500 mg), DMARDs (methotrexate)","Xray (erosions), labs (RF, ESR), clinical exam","Joint pain, swelling, stiffness, warmth","NSAIDs (naproxen 500 milligrams), DMARDs (methotrexate) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pelvic Inflammatory Disease,Ceftriaxone (250 mg IM) + doxycycline (100 mg twice daily),"Clinical (cervical motion tenderness), NAAT, ultrasound","Pelvic pain, discharge, fever, dyspareunia",Ceftriaxone (250 milligrams IM) + doxycycline (100 milligrams twice daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional.
Abdominal Aortic Aneurysm,"Surgery (EVAR if >5.5 cm), BP control (betablockers)","Ultrasound (diameter >3 cm), CTA, clinical","Pulsatile mass, back pain, rupture risk","Surgery (EVAR if >5.5 cm), BP control (betablockers) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Oxalosis,"Pyridoxine (100 mg daily), dialysis, transplant","Urine oxalate (>40 mg/day), biopsy (crystals), genetic","Kidney stones, renal failure, bone pain","Pyridoxine (100 milligrams daily), dialysis, transplant This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Acute Porphyria,"Hemin (3 mg/kg IV), glucose (10% IV), avoid triggers","Urine PBG (>10 mg/L), ALA, genetic (e.g., AIP)","Abdominal pain, neuropathy, confusion, dark urine","Hemin (3 milligrams/kg intravenous), glucose (10% intravenous), avoid triggers This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Influenza (Flu),"Oseltamivir (75 mg twice daily), supportive care","Rapid flu test, PCR (influenza A/B), clinical","Fever, cough, myalgia, fatigue, chills","Oseltamivir (75 milligrams twice daily), supportive care This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Wernicke’s Encephalopathy,"Thiamine (500 mg IV 3x daily), magnesium","Clinical triad, MRI (mammillary body), history","Confusion, ataxia, nystagmus, thiamine deficiency","Thiamine (500 milligrams intravenous 3 times a day), magnesium This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chronic Spasticity,"Baclofen (10 mg 3x daily), Botox (200 units), therapy","Clinical (tone), EMG, history (e.g., MS/stroke)","Muscle stiffness, spasms, pain, disability","Baclofen (10 milligrams 3 times a day), Botox (200 units), therapy This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Metatarsalgia,"Metatarsal pads, NSAIDs (ibuprofen 400 mg), rest","Clinical exam (tenderness), Xray (rule out fracture)","Forefoot pain, burning, worse with walking","Metatarsal pads, NSAIDs (ibuprofen 400 milligrams), rest This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
NF2 (Neurofibromatosis),"Surgery (tumor removal), bevacizumab (10 mg/kg IV)","MRI (bilateral vestibular schwannomas), genetic (NF2)","Hearing loss, tinnitus, schwannomas, cataracts","Surgery (tumor removal), bevacizumab (10 milligrams/kg intravenous) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cephalohematoma,"Observation (resolves), monitor jaundice","Clinical exam, ultrasound (if large), Xray (fracture)","Scalp swelling (neonate), firm, traumarelated","Observation (resolves), monitor jaundice This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dysentery,"Ciprofloxacin (500 mg twice daily), metronidazole (if amoebic)","Stool culture (Shigella/Entamoeba), microscopy","Bloody diarrhea, fever, abdominal pain, tenesmus","Ciprofloxacin (500 milligrams twice daily), metronidazole (if amoebic) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Nephrocalcinosis,"Hydration, thiazides (HCTZ 25 mg daily), treat cause","CT (calcium deposits), labs (calcium, PTH), ultrasound","Often asymptomatic, kidney stones, renal dysfunction","Hydration, thiazides (HCTZ 25 milligrams daily), treat cause This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
TTN (Transient Tachypnea of Newborn),"Oxygen, supportive care, resolves in 48 hrs","Chest Xray (wet lungs), clinical, rule out sepsis","Rapid breathing, grunting, cyanosis (neonate)","Oxygen, supportive care, resolves in 48 hrs This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Liver Disease Diet,"Lowsalt diet, protein (1 g/kg), avoid alcohol","LFTs (elevated), ultrasound, clinical history","Fatigue, jaundice, ascites, dietary impact","Lowsalt diet, protein (1 g/kg), avoid alcohol This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
MSL (Madelung’s Disease),"Liposuction, surgery, alcohol cessation","Clinical exam, MRI (lipomas), history","Fatty deposits (neck/shoulders), pain, alcohol link","Liposuction, surgery, alcohol cessation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Tinea Pedis,"Terbinafine (1% cream), miconazole, keep dry","KOH prep (hyphae), culture (Trichophyton), exam","Foot itching, scaling, odor, maceration","Terbinafine (1% cream), miconazole, keep dry This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Immune Thrombocytopenic Purpura,"Prednisone (1 mg/kg daily), IVIG (1 g/kg)","CBC (platelets <100k), rule out secondary, marrow","Bruising, petechiae, bleeding, low platelets","Prednisone (1 milligrams/kg daily), intravenousIG (1 g/kg) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Pyrexia,"Acetaminophen (1 g), treat cause (e.g., antibiotics)","Temp (>38°C), blood cultures, history (infection)","Fever, chills, sweats, variable cause","Acetaminophen (1 g), treat cause (e.g., antibiotics) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Nail Dystrophy,"Treat cause (e.g., terbinafine 250 mg daily), trim","Clinical exam, KOH (if fungal), biopsy (if unclear)","Thickened, discolored nails, crumbling, pain","Treat cause (e.g., terbinafine 250 milligrams daily), trim This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Clostridioides difficile Colitis,"Vancomycin (125 mg 4x daily), fidaxomicin (200 mg twice daily)","Stool toxin (C. diff), PCR, colonoscopy","Watery diarrhea, fever, abdominal pain, pseudomembranes","Vancomycin (125 milligrams 4 times a day), fidaxomicin (200 milligrams twice daily) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Alcoholic Cirrhosis,"Abstinence, lactulose (30 mL), transplant","Ultrasound (nodular liver), LFTs (AST:ALT >2), biopsy","Ascites, jaundice, confusion, variceal bleeding","Abstinence, lactulose (30 mL), transplant This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
TEPH (Thromboembolic Pulmonary Hypertension),"Pulmonary endarterectomy, riociguat (2.5 mg 3x daily)","V/Q scan (mismatch), right heart cath, CT angiogram","Dyspnea, fatigue, leg swelling, history of PE","Pulmonary endarterectomy, riociguat (2.5 milligrams 3 times a day) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
IMT (Inflammatory Myofibroblastic Tumor),"Surgery, crizotinib (250 mg twice daily), steroids","Biopsy (spindle cells), ALK mutation, imaging","Mass, pain, fever, weight loss","Surgery, crizotinib (250 milligrams twice daily), steroids This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Invasive Mucormycosis,"Amphotericin B (5 mg/kg IV), surgery (debridement)","Biopsy (angioinvasion), culture (Mucor), CT","Fever, sinus pain, necrosis, immunocompromised","Amphotericin B (5 milligrams/kg intravenous), surgery (debridement) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Split Personality Disorder,"Traumafocused therapy, no specific meds, support","DSM5 (DID), clinical interview, psych testing","Multiple identities, memory gaps, trauma history","Traumafocused therapy, no specific meds, support This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Upper Respiratory Infection (URI),"Supportive care, decongestants, rest","Clinical exam, viral PCR (if severe), history","Cough, sore throat, nasal congestion, fever","Supportive care, decongestants, rest This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hypoglycemia in Infancy,"Glucose (10% IV), diazoxide (5 mg/kg daily), monitor","Blood glucose (<50 mg/dL), insulin levels, history","Irritability, seizures, lethargy, low glucose","Glucose (10% intravenous), diazoxide (5 milligrams/kg daily), monitor This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Cachexia,"Nutritional support, megestrol (800 mg daily), treat cause","Clinical (unintentional loss >5%), labs (albumin)","Weight loss, muscle wasting, fatigue, anorexia","Nutritional support, megestrol (800 milligrams daily), treat cause This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
